wordnet,wikipedia,source
aficionado.n.01,Aficionado,BING
aflatoxin.n.01,aflatoxin,BABELNET
african_clawed_frog.n.01,African_clawed_frog,BABELNET
african_country.n.01,Africa,BING
african_elephant.n.01,African_elephant,BABELNET
african_lily.n.01,Agapanthus_africanus,BABELNET
african_violet.n.01,Viola_(plant),BING
afterbirth.n.01,Placental_expulsion,BABELNET
aftermath.n.01,Aftermath_(2017_film),BING
agape.n.02,agape,BABELNET
agate.n.01,agate,BABELNET
age_group.n.01,cohort_(statistics),BABELNET
agency.n.01,office,BABELNET
agenda.n.01,Agenda_(meeting),BING
agent.n.04,factor_(agent),BABELNET
agent_provocateur.n.01,agent_provocateur,BABELNET
agglutination.n.03,Agglutination_(biology),BING
aggravation.n.02,Aggravation_(legal_concept),BING
aggression.n.02,aggression,BABELNET
agio.n.01,agio,BABELNET
agitation.n.02,Agitator_(device),BABELNET
aglet.n.02,Aiguillette_(ornament),BABELNET
agnostic.n.01,Agnosticism,BING
agony.n.02,Agony_(2017_video_game),BING
agora.n.03,agora,BABELNET
agoraphobia.n.01,agoraphobia,BABELNET
agouti.n.01,Red-rumped_agouti,BABELNET
agreement.n.01,Contract,BING
agribusiness.n.01,Agribusiness,FERNANDO
agronomist.n.01,Agronomist,FERNANDO
aid.n.02,Aid,FERNANDO
aikido.n.01,aikido,BABELNET
ailment.n.01,Gout,BING
aim.n.02,AOL_Instant_Messenger,BING
air_alert.n.01,Quick_Reaction_Alert,BING
air_bag.n.01,airbag,BABELNET
air_compressor.n.01,air_compressor,BABELNET
air_conditioner.n.01,air_conditioning,BABELNET
air_cushion.n.02,Air-cushioned_landing_craft,BING
air_filter.n.01,air_filter,BABELNET
air_horn.n.01,air_horn,BABELNET
air_pollution.n.01,air_pollution,BABELNET
air_pump.n.01,vacuum_pump,BABELNET
air_terminal.n.01,airport_terminal,BABELNET
air_transportation.n.01,Air_transportation_in_the_United_States,BING
air_travel.n.01,aviation,BABELNET
airbrake.n.01,dive_brake,BABELNET
airbrush.n.01,airbrush,BABELNET
airbus.n.01,Airbus,BABELNET
aircraft.n.01,aircraft,BABELNET
aircraft_carrier.n.01,aircraft_carrier,BABELNET
aircraft_engine.n.01,aircraft_engine,BABELNET
airdock.n.01,hangar,BABELNET
airedale.n.01,Airedale_Terrier,BABELNET
airfield.n.01,Airport/Facility_Directory,BING
airfoil.n.01,Control_volume,BABELNET
airhead.n.01,Airhead,FERNANDO
airiness.n.02,buoyancy,BABELNET
airlift.n.01,airlift,BABELNET
airline.n.02,airline,BABELNET
airplane.n.01,airplane,BABELNET
airplane_propeller.n.01,Propeller_(aeronautics),BABELNET
airport.n.01,airport,BABELNET
airsickness.n.01,airsickness,BABELNET
airspace.n.01,airspace,BABELNET
airstrip.n.01,Runway,BING
aisle.n.02,Aisle,BING
ala.n.01,Hall–Héroult_process,BING
alabaster.n.02,Alabaster,BING
alanine.n.01,alanine,BABELNET
alarm.n.03,aposematism,BABELNET
alarm_clock.n.01,alarm_clock,BABELNET
alb.n.01,alb,BABELNET
albacore.n.02,albacore,BABELNET
albatross.n.01,Albatross,BING
albatross.n.02,mollymawk,BABELNET
albinism.n.01,albinism,BABELNET
albite.n.01,albite,BABELNET
album.n.01,album,BABELNET
albumin.n.01,albumin,BABELNET
alchemist.n.01,Full_Metal_Alchemist,BING
alcohol.n.01,Alcoholic_drink,BABELNET
alcoholic.n.01,Alcoholism,BING
alcoholism.n.01,alcoholism,BABELNET
alder.n.02,alder,BABELNET
aldohexose.n.01,aldohexose,BABELNET
aldosterone.n.01,aldosterone,BABELNET
aleph.n.01,aleph,BABELNET
alewife.n.02,alewife,BABELNET
alexandrite.n.01,Chrysoberyl,BING
alfalfa.n.01,Lucerne,BABELNET
alga.n.01,algae,BABELNET
algebra.n.01,algebra,BABELNET
algorithm.n.01,algorithm,BABELNET
alias.n.01,Alias_(SQL),BING
alienation.n.01,Alienation,BING
alimentary_canal.n.01,Gut_(anatomy),BABELNET
alizarin.n.01,alizarin,BABELNET
alkaloid.n.01,alkaloid,BABELNET
alkaptonuria.n.01,alkaptonuria,BABELNET
allegation.n.02,Allegation,FERNANDO
allegretto.n.01,Allegretto,BING
allegro.n.01,Allegro_(musical),BING
allergy.n.01,allergy,BABELNET
alley.n.01,Alley,FERNANDO
alliance.n.03,alignment_(Israel),BABELNET
alligator.n.02,alligator,BABELNET
alligator_snapping_turtle.n.01,alligator_snapping_turtle,BABELNET
allotment.n.02,apportionment_(politics),BABELNET
